Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-21.0,-97.0,-14.0,5.59,5778,0.44,0.68,0.75
1a,-18.0,-97.0,1.0,5.46,,,,
1b,-30.0,-94.0,-14.0,5.27,,,,
1c,-30.0,-85.0,-20.0,4.12,,,,
2,24.0,-40.0,-11.0,5.08,1728,0.14,0.30,0.17
2a,24.0,-52.0,-14.0,4.91,,,,
3,54.0,-64.0,1.0,4.85,3213,0.27,0.45,0.55
3a,51.0,-55.0,-2.0,4.81,,,,
4,18.0,-85.0,-5.0,4.51,4779,0.25,0.60,0.70
4a,21.0,-94.0,-2.0,4.47,,,,
4b,24.0,-91.0,-11.0,4.36,,,,
4c,33.0,-82.0,-17.0,3.73,,,,
5,-54.0,-76.0,7.0,4.44,675,0.00,0.00,0.00
6,-27.0,-49.0,-5.0,4.12,324,0.00,0.00,0.00
6a,-21.0,-52.0,-11.0,3.88,,,,
7,33.0,-79.0,16.0,3.99,81,0.00,0.00,0.00
8,-30.0,-85.0,19.0,3.99,162,0.00,0.00,0.00
9,45.0,-46.0,-23.0,3.97,189,0.00,0.00,0.00
10,24.0,-73.0,-14.0,3.72,27,0.00,0.00,0.00
11,-24.0,-40.0,-14.0,3.69,81,0.00,0.00,0.00
12,33.0,-34.0,-17.0,3.51,27,0.00,0.00,0.00
