Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,21.0,-94.0,4.0,6.70,11124,0.94,0.95,0.92
1a,27.0,-88.0,-5.0,6.54,,,,
2,-51.0,-37.0,4.0,6.67,1593,0.76,0.83,0.44
3,-24.0,-88.0,-11.0,6.48,14094,0.95,0.95,0.93
3a,-21.0,-91.0,4.0,6.34,,,,
3b,-12.0,-88.0,-8.0,6.25,,,,
4,-60.0,-31.0,25.0,6.13,27567,0.97,0.98,0.97
4a,3.0,-67.0,61.0,5.85,,,,
4b,-57.0,-37.0,34.0,5.85,,,,
4c,-3.0,-55.0,67.0,5.52,,,,
5,63.0,-34.0,28.0,5.53,18603,0.96,0.96,0.95
5a,51.0,-64.0,40.0,5.46,,,,
5b,51.0,-55.0,46.0,5.30,,,,
5c,60.0,-22.0,19.0,5.28,,,,
6,-54.0,-4.0,49.0,5.48,1593,0.63,0.71,0.42
7,54.0,11.0,7.0,5.44,1080,0.55,0.68,0.17
8,6.0,-91.0,37.0,5.32,1539,0.68,0.79,0.42
8a,3.0,-94.0,19.0,5.27,,,,
8b,3.0,-94.0,28.0,5.21,,,,
9,51.0,-28.0,4.0,5.25,621,0.43,0.61,0.00
10,54.0,-7.0,-11.0,5.10,1323,0.51,0.57,0.31
11,-54.0,-70.0,1.0,5.08,729,0.41,0.56,0.00
12,-54.0,-52.0,-20.0,5.04,1890,0.61,0.66,0.51
12a,-60.0,-40.0,-14.0,4.77,,,,
13,-3.0,-31.0,28.0,5.01,1161,0.58,0.70,0.23
14,66.0,-37.0,-14.0,4.70,891,0.48,0.64,0.00
15,-15.0,-22.0,28.0,4.69,54,0.00,0.50,0.00
16,-54.0,-31.0,55.0,4.64,324,0.08,0.33,0.00
17,-18.0,-31.0,-2.0,4.62,162,0.00,0.00,0.00
17a,-9.0,-31.0,-2.0,4.15,,,,
18,21.0,-28.0,25.0,4.59,27,0.00,0.00,0.00
19,-45.0,50.0,1.0,4.50,378,0.00,0.14,0.00
20,-18.0,-28.0,25.0,4.47,27,0.00,0.00,0.00
21,12.0,-52.0,34.0,4.46,486,0.06,0.22,0.00
22,57.0,-58.0,-20.0,4.46,243,0.00,0.00,0.00
23,-18.0,-25.0,28.0,4.46,27,0.00,0.00,0.00
24,-21.0,-34.0,22.0,4.44,27,0.00,0.00,0.00
25,0.0,-76.0,-2.0,4.38,216,0.00,0.12,0.00
26,-24.0,-52.0,-20.0,4.34,108,0.00,0.00,0.00
27,57.0,-64.0,4.0,4.32,135,0.00,0.00,0.00
28,-6.0,50.0,-11.0,4.26,54,0.00,0.00,0.00
29,-54.0,-4.0,-8.0,4.25,108,0.00,0.00,0.00
30,24.0,-46.0,67.0,4.18,162,0.00,0.00,0.00
31,-18.0,14.0,-29.0,4.18,27,0.00,0.00,0.00
32,-39.0,-67.0,-11.0,4.17,54,0.00,0.00,0.00
33,-6.0,-31.0,-5.0,4.17,27,0.00,0.00,0.00
34,48.0,50.0,-11.0,4.14,27,0.00,0.00,0.00
35,-51.0,-13.0,-14.0,4.12,81,0.00,0.00,0.00
36,27.0,50.0,-17.0,4.10,54,0.00,0.00,0.00
37,18.0,-22.0,28.0,4.08,27,0.00,0.00,0.00
38,3.0,29.0,40.0,4.07,27,0.00,0.00,0.00
39,45.0,50.0,-17.0,4.06,27,0.00,0.00,0.00
40,-42.0,53.0,10.0,4.05,27,0.00,0.00,0.00
41,-21.0,14.0,-26.0,4.05,27,0.00,0.00,0.00
42,6.0,26.0,40.0,4.04,27,0.00,0.00,0.00
43,-48.0,-34.0,61.0,4.03,27,0.00,0.00,0.00
44,57.0,-70.0,10.0,4.01,27,0.00,0.00,0.00
