Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,24.0,-94.0,7.0,6.91,16848,0.70,0.72,0.73
1a,27.0,-88.0,-2.0,6.81,,,,
2,-60.0,-28.0,19.0,6.54,112833,0.75,0.89,0.91
2a,-33.0,-43.0,61.0,6.37,,,,
2b,-54.0,-25.0,31.0,6.32,,,,
2c,-18.0,-10.0,64.0,6.11,,,,
3,-24.0,-88.0,-8.0,6.12,19629,0.68,0.70,0.73
3a,-39.0,-70.0,-11.0,3.40,,,,
4,-24.0,-52.0,-20.0,5.88,21600,0.34,0.52,0.58
4a,-54.0,-70.0,1.0,5.50,,,,
4b,-51.0,-67.0,-32.0,4.83,,,,
4c,-54.0,-55.0,-20.0,4.66,,,,
5,-42.0,-1.0,10.0,5.87,8478,0.37,0.41,0.41
5a,-33.0,-1.0,13.0,5.76,,,,
5b,-54.0,2.0,7.0,5.22,,,,
5c,-33.0,14.0,4.0,4.04,,,,
6,57.0,8.0,7.0,5.73,9315,0.36,0.41,0.46
6a,36.0,5.0,10.0,4.68,,,,
6b,45.0,-1.0,13.0,4.66,,,,
6c,54.0,5.0,25.0,4.64,,,,
7,-54.0,-4.0,49.0,5.29,2646,0.12,0.13,0.00
7a,-39.0,-1.0,46.0,3.37,,,,
8,3.0,-28.0,28.0,5.21,4995,0.30,0.34,0.24
8a,3.0,-37.0,25.0,4.83,,,,
8b,18.0,-31.0,40.0,3.64,,,,
8c,-12.0,-28.0,40.0,3.32,,,,
9,33.0,-13.0,58.0,5.16,2646,0.28,0.32,0.09
10,48.0,-31.0,1.0,4.97,9018,0.16,0.20,0.29
10a,54.0,-7.0,-14.0,4.77,,,,
10b,51.0,20.0,-23.0,4.36,,,,
10c,57.0,11.0,-29.0,3.34,,,,
11,60.0,-55.0,-26.0,4.92,6993,0.04,0.08,0.11
11a,66.0,-46.0,-14.0,4.41,,,,
11b,66.0,-37.0,-14.0,4.07,,,,
11c,54.0,-67.0,-5.0,3.49,,,,
12,-51.0,-31.0,1.0,4.84,7398,0.08,0.13,0.22
12a,-57.0,-10.0,-8.0,4.32,,,,
12b,-57.0,2.0,-20.0,3.76,,,,
12c,-57.0,2.0,-11.0,3.70,,,,
13,-6.0,5.0,58.0,4.69,1080,0.05,0.07,0.00
14,54.0,-28.0,-29.0,4.41,1053,0.00,0.00,0.00
14a,42.0,-31.0,-29.0,3.62,,,,
15,42.0,50.0,1.0,4.37,4671,0.00,0.00,0.00
15a,45.0,50.0,-14.0,3.86,,,,
15b,42.0,44.0,16.0,3.75,,,,
15c,30.0,53.0,-17.0,3.68,,,,
