Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,60.0,-10.0,-2.0,16.86,44091.0,1633.0,0.92,0.95,0.96,0.95
2,-63.0,-13.0,1.0,15.47,43497.0,1611.0,0.91,0.95,0.96,0.95
2a,-45.0,-25.0,4.0,15.29,,,,,,
3,-33.0,-85.0,-14.0,15.27,134730.0,4990.0,0.96,0.98,0.99,0.98
3a,-36.0,-91.0,-5.0,15.05,,,,,,
3b,27.0,-91.0,-8.0,14.97,,,,,,
3c,-21.0,-94.0,-8.0,14.89,,,,,,
4,45.0,20.0,52.0,8.21,43551.0,1613.0,0.89,0.95,0.96,0.95
4a,48.0,26.0,43.0,8.16,,,,,,
4b,45.0,50.0,-14.0,8.14,,,,,,
4c,27.0,29.0,58.0,8.12,,,,,,
5,-42.0,56.0,-8.0,7.54,10341.0,383.0,0.72,0.8,0.82,0.81
5a,-42.0,50.0,-17.0,6.47,,,,,,
5b,-48.0,44.0,-17.0,6.43,,,,,,
5c,-18.0,65.0,-8.0,5.77,,,,,,
6,-42.0,26.0,46.0,6.17,3105.0,115.0,0.56,0.62,0.52,0.66
6a,-39.0,17.0,55.0,5.54,,,,,,
6b,-27.0,26.0,58.0,4.72,,,,,,
7,-51.0,-55.0,49.0,5.53,5103.0,189.0,0.55,0.66,0.63,0.68
7a,-42.0,-61.0,55.0,5.24,,,,,,
8,9.0,17.0,34.0,4.79,4779.0,177.0,0.29,0.53,0.6,0.55
8a,-3.0,17.0,37.0,4.75,,,,,,
8b,-3.0,26.0,25.0,4.51,,,,,,
8c,3.0,2.0,31.0,3.9,,,,,,
9,-30.0,32.0,52.0,4.59,27.0,1.0,0.0,0.0,0.0,0.0
10,60.0,-31.0,-14.0,4.46,405.0,15.0,0.0,0.0,0.0,0.0
11,9.0,44.0,16.0,4.2,135.0,5.0,0.0,0.0,0.0,0.0
12,-12.0,29.0,-23.0,4.12,189.0,7.0,0.0,0.0,0.0,0.0
13,24.0,-64.0,13.0,4.06,432.0,16.0,0.0,0.0,0.0,0.0
13a,24.0,-55.0,10.0,3.96,,,,,,
14,-18.0,-61.0,10.0,4.05,837.0,31.0,0.0,0.0,0.0,0.0
14a,-18.0,-58.0,22.0,3.84,,,,,,
15,-48.0,17.0,46.0,4.03,27.0,1.0,0.0,0.0,0.0,0.0
16,-33.0,32.0,49.0,4.02,27.0,1.0,0.0,0.0,0.0,0.0
17,-3.0,-13.0,40.0,3.96,297.0,11.0,0.0,0.0,0.0,0.0
18,-12.0,-4.0,-29.0,3.91,135.0,5.0,0.0,0.0,0.0,0.0
19,6.0,-73.0,52.0,3.88,729.0,27.0,0.0,0.0,0.0,0.0
20,9.0,-28.0,25.0,3.88,108.0,4.0,0.0,0.0,0.0,0.0
21,-18.0,26.0,61.0,3.86,27.0,1.0,0.0,0.0,0.0,0.0
22,-42.0,50.0,19.0,3.78,108.0,4.0,0.0,0.0,0.0,0.0
23,-21.0,23.0,61.0,3.74,27.0,1.0,0.0,0.0,0.0,0.0
24,-12.0,-13.0,22.0,3.7,27.0,1.0,0.0,0.0,0.0,0.0
25,-21.0,47.0,-20.0,3.7,27.0,1.0,0.0,0.0,0.0,0.0
26,-15.0,-28.0,-8.0,3.62,54.0,2.0,0.0,0.0,0.0,0.0
27,-18.0,41.0,52.0,3.61,27.0,1.0,0.0,0.0,0.0,0.0
28,21.0,-7.0,-17.0,3.61,135.0,5.0,0.0,0.0,0.0,0.0
29,60.0,-25.0,-20.0,3.59,54.0,2.0,0.0,0.0,0.0,0.0
30,-15.0,-43.0,1.0,3.57,27.0,1.0,0.0,0.0,0.0,0.0
31,-12.0,-79.0,31.0,3.57,27.0,1.0,0.0,0.0,0.0,0.0
32,-51.0,23.0,34.0,3.55,27.0,1.0,0.0,0.0,0.0,0.0
33,-51.0,41.0,-8.0,3.54,27.0,1.0,0.0,0.0,0.0,0.0
34,-21.0,-94.0,28.0,3.54,27.0,1.0,0.0,0.0,0.0,0.0
35,-33.0,8.0,64.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
36,-27.0,35.0,-23.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
37,-39.0,29.0,1.0,3.52,27.0,1.0,0.0,0.0,0.0,0.0
38,-63.0,-31.0,-17.0,3.52,27.0,1.0,0.0,0.0,0.0,0.0
39,-12.0,-43.0,4.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
40,-30.0,38.0,46.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
41,-45.0,44.0,19.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
