Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,42.0,-58.0,-20.0,10.29,109701,0.99,1.00,0.99
1a,-12.0,-103.0,7.0,8.91,,,,
1b,18.0,-100.0,10.0,8.41,,,,
1c,48.0,-67.0,16.0,7.28,,,,
2,21.0,-7.0,-17.0,8.31,9450,0.93,0.96,0.91
2a,15.0,-31.0,-2.0,6.57,,,,
2b,33.0,-7.0,-11.0,6.49,,,,
2c,27.0,2.0,-32.0,4.87,,,,
3,-18.0,-7.0,-17.0,7.13,5778,0.89,0.94,0.85
3a,-6.0,2.0,-14.0,4.75,,,,
3b,-33.0,-10.0,-8.0,4.69,,,,
3c,-30.0,-19.0,-2.0,4.33,,,,
4,27.0,-1.0,70.0,5.57,12339,0.95,0.97,0.93
4a,36.0,-40.0,67.0,5.35,,,,
4b,36.0,-37.0,55.0,5.32,,,,
4c,21.0,-61.0,67.0,4.62,,,,
5,48.0,23.0,28.0,5.36,2646,0.76,0.87,0.66
5a,51.0,32.0,28.0,5.23,,,,
5b,36.0,26.0,22.0,4.33,,,,
6,-9.0,-52.0,43.0,5.22,5535,0.88,0.94,0.84
6a,0.0,-58.0,25.0,4.89,,,,
6b,6.0,-49.0,43.0,4.72,,,,
7,48.0,-22.0,13.0,5.09,810,0.30,0.57,0.00
8,36.0,-7.0,-38.0,5.04,459,0.18,0.41,0.00
9,-15.0,-34.0,-5.0,5.04,945,0.46,0.71,0.09
10,39.0,-4.0,13.0,4.95,405,0.33,0.33,0.00
11,-63.0,-31.0,1.0,4.79,405,0.20,0.40,0.00
12,-3.0,65.0,-14.0,4.79,378,0.14,0.29,0.00
13,-18.0,-67.0,22.0,4.77,351,0.08,0.23,0.00
14,-30.0,-4.0,67.0,4.71,513,0.32,0.47,0.00
15,-27.0,14.0,-38.0,4.67,675,0.36,0.60,0.00
15a,-27.0,2.0,-35.0,4.27,,,,
16,-42.0,-1.0,31.0,4.61,297,0.00,0.27,0.00
17,-48.0,8.0,22.0,4.58,405,0.00,0.27,0.00
18,15.0,-25.0,13.0,4.50,108,0.00,0.00,0.00
19,-48.0,26.0,40.0,4.43,135,0.00,0.00,0.00
20,-18.0,-55.0,-8.0,4.42,243,0.00,0.00,0.00
21,60.0,-19.0,34.0,4.40,81,0.00,0.00,0.00
22,-21.0,-46.0,-5.0,4.40,189,0.00,0.00,0.00
23,48.0,8.0,37.0,4.40,216,0.00,0.00,0.00
24,36.0,-28.0,40.0,4.35,81,0.00,0.00,0.00
25,45.0,35.0,10.0,4.30,216,0.00,0.00,0.00
26,33.0,-46.0,40.0,4.30,351,0.00,0.08,0.00
27,-39.0,23.0,49.0,4.28,54,0.00,0.00,0.00
28,-42.0,26.0,46.0,4.24,54,0.00,0.00,0.00
29,30.0,29.0,-20.0,4.24,162,0.00,0.00,0.00
30,-39.0,-7.0,64.0,4.24,27,0.00,0.00,0.00
31,51.0,-13.0,4.0,4.23,108,0.00,0.00,0.00
32,-18.0,-85.0,1.0,4.20,27,0.00,0.00,0.00
33,-42.0,20.0,49.0,4.14,27,0.00,0.00,0.00
34,24.0,2.0,7.0,4.14,108,0.00,0.00,0.00
35,30.0,-1.0,-35.0,4.12,27,0.00,0.00,0.00
36,-27.0,-49.0,67.0,4.12,54,0.00,0.00,0.00
37,39.0,35.0,-20.0,4.09,81,0.00,0.00,0.00
38,21.0,-67.0,22.0,4.09,54,0.00,0.00,0.00
39,-30.0,32.0,-20.0,4.08,27,0.00,0.00,0.00
40,-12.0,-70.0,31.0,4.04,27,0.00,0.00,0.00
41,-27.0,-58.0,-5.0,4.03,27,0.00,0.00,0.00
42,18.0,-52.0,73.0,4.02,27,0.00,0.00,0.00
43,51.0,-40.0,55.0,4.02,27,0.00,0.00,0.00
44,-36.0,-4.0,64.0,4.01,27,0.00,0.00,0.00
45,-33.0,-40.0,-14.0,4.01,27,0.00,0.00,0.00
