Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-36.0,-34.0,-20.0,6.01,25488,0.32,0.31,0.74
1a,-27.0,-43.0,-20.0,5.79,,,,
1b,-42.0,-46.0,-17.0,5.53,,,,
1c,-39.0,-55.0,-14.0,5.11,,,,
2,42.0,-58.0,-14.0,5.01,13959,0.13,0.12,0.53
2a,36.0,-49.0,-20.0,4.86,,,,
2b,54.0,-73.0,-8.0,4.70,,,,
2c,39.0,-28.0,-20.0,3.69,,,,
3,-33.0,35.0,-11.0,4.55,1026,0.00,0.00,0.00
3a,-42.0,35.0,-17.0,3.44,,,,
4,39.0,23.0,-5.0,4.55,4644,0.00,0.02,0.14
4a,48.0,17.0,4.0,4.36,,,,
4b,54.0,14.0,22.0,3.98,,,,
5,-15.0,-58.0,55.0,4.44,2673,0.00,0.00,0.00
6,-24.0,-13.0,-20.0,4.42,729,0.00,0.00,0.00
7,0.0,29.0,-20.0,4.24,2079,0.00,0.00,0.00
7a,6.0,38.0,-17.0,3.67,,,,
8,-9.0,-100.0,1.0,4.19,2943,0.00,0.00,0.00
9,-60.0,-52.0,4.0,4.13,999,0.00,0.00,0.00
10,42.0,35.0,25.0,4.10,756,0.00,0.00,0.00
11,27.0,-1.0,-14.0,3.83,1782,0.00,0.00,0.00
11a,24.0,-19.0,-14.0,3.78,,,,
11b,27.0,-10.0,-14.0,3.69,,,,
12,9.0,32.0,31.0,3.79,1512,0.00,0.00,0.00
12a,6.0,29.0,43.0,3.41,,,,
13,-6.0,-55.0,10.0,3.70,243,0.00,0.00,0.00
14,24.0,-82.0,-29.0,3.61,729,0.00,0.00,0.00
15,36.0,50.0,13.0,3.61,432,0.00,0.00,0.00
16,-27.0,-1.0,58.0,3.50,270,0.00,0.00,0.00
17,15.0,-73.0,52.0,3.49,1404,0.00,0.00,0.00
18,45.0,-49.0,46.0,3.44,567,0.00,0.00,0.00
18a,36.0,-55.0,49.0,3.23,,,,
19,-36.0,17.0,-5.0,3.43,270,0.00,0.00,0.00
20,18.0,-103.0,7.0,3.39,297,0.00,0.00,0.00
21,-18.0,-4.0,-8.0,3.38,270,0.00,0.00,0.00
22,15.0,-58.0,58.0,3.19,216,0.00,0.00,0.00
23,36.0,17.0,40.0,3.17,54,0.00,0.00,0.00
24,-39.0,-46.0,46.0,3.16,243,0.00,0.00,0.00
25,39.0,-10.0,67.0,3.16,162,0.00,0.00,0.00
26,-48.0,35.0,7.0,3.11,54,0.00,0.00,0.00
27,-51.0,-46.0,-5.0,3.04,27,0.00,0.00,0.00
28,24.0,14.0,61.0,3.01,27,0.00,0.00,0.00
