Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,24.0,-94.0,10.0,7.61,41742,1.00,1.00,0.98
1a,27.0,-52.0,-14.0,7.34,,,,
1b,27.0,-70.0,-11.0,6.82,,,,
1c,-9.0,-100.0,4.0,6.72,,,,
2,-27.0,-52.0,-14.0,7.21,7047,0.99,1.00,0.90
3,21.0,-55.0,4.0,4.97,702,0.92,0.96,0.00
4,9.0,-85.0,40.0,4.90,162,0.50,0.83,0.00
5,-6.0,-85.0,43.0,4.87,351,0.77,0.92,0.00
6,-6.0,-97.0,22.0,4.78,135,0.60,0.80,0.00
7,-18.0,-103.0,-14.0,4.76,189,0.71,0.86,0.00
8,36.0,-28.0,-20.0,4.69,54,0.00,0.50,0.00
9,-27.0,-94.0,-11.0,4.57,27,0.00,0.00,0.00
10,57.0,-49.0,52.0,4.52,27,0.00,0.00,0.00
11,-24.0,-97.0,-11.0,4.51,27,0.00,0.00,0.00
